Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",Custom_Capacitor,6,C_Small,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D9",D_SOD-123F,83,D,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
L2,IND_XFL4020-222MEC,1,XFL4020-222MEC,
"R1, R2, R3, R4, R5, R7, R8",Custom_Resistor,7,R,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW29, SW3, SW30, SW31, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW46, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW6, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW72, SW8, SW81, SW82, SW83, SW9",SW_Cherry_MX_PCB_1.00u,68,SW_Push,
SW28,SW_Cherry_MX_PCB_2.00u,1,SW_Push,
"SW32, SW45",SW_Cherry_MX_PCB_1.50u,2,SW_Push,
SW47,SW_Cherry_MX_PCB_1.75u,1,SW_Push,
"SW59, SW60",SW_Cherry_MX_PCB_2.25u,2,SW_Push,
SW71,SW_Cherry_MX_PCB_2.75u,1,SW_Push,
"SW73, SW74, SW75, SW77, SW78, SW79, SW80",SW_Cherry_MX_PCB_1.25u,7,SW_Push,
SW76,SW_Cherry_MX_PCB_6.25u,1,SW_Push,
"U11, U2, U7",LED_D5.0mm,3,Custom Led 5.0mm,
U5,Texas_DRC0010J_ThermalVias,1,TPS63001,
U6,Three Pin Connector,1,Three Pin Connector,
U8,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP73831-2-MC,
U9,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
